email,first_name,last_name,company_name,job_title,phone,linkedin_url,source,notes,industry,company_size,tech_stack,funding_stage,employee_count,annual_revenue
anthony.rodriguez@devopscore.com,Anthony,Rodriguez,DevOpsCore,Chief Product Officer,+1-360-653-4376,https://linkedin.com/in/anthony-rodriguez-chief-product-ficer,cold_email,"Active in Real Estate community, frequently shares insights on LinkedIn",Real Estate,201-500,"Django, PostgreSQL, Kubernetes",Bootstrap,1166,$26M
ryan.collins@codecraft.com,Ryan,Collins,CodeCraft,Head of Platform,+1-774-631-3477,https://linkedin.com/in/ryan-collins-head-platform,other,"Active in Real Estate community, frequently shares insights on LinkedIn",Real Estate,501-1000,"Vue.js, Python, GCP",Series B,4205,$15M
jessica.carter@med.com,Jessica,Carter,MedTech Solutions,Director of Sales,+1-999-591-1220,https://linkedin.com/in/jessica-carter-director-sales,cold_email,"Looking to scale HealthTech operations, mentioned challenges with current tech stack",HealthTech,201-500,"React, Node.js, AWS",Seed,3927,$41M
sarah.johnson@apiforge.com,Sarah,Johnson,APIForge,Chief Marketing Officer,+1-558-497-2120,https://linkedin.com/in/sarah-johnson-chief-marketing-ficer,linkedin,"Active in Real Estate community, frequently shares insights on LinkedIn",Real Estate,1000+,"Angular, .NET, Azure",Series B,1792,$23M
robert.adams@content.com,Robert,Adams,ContentStream,Head of Technology,+1-707-983-3327,https://linkedin.com/in/robert-adams-head-technology,referral,"Attended industry conference last month, interested in automation solutions",IoT,501-1000,"React, Node.js, AWS",Series B,3731,$9M
ashley.scott@cloudvault.com,Ashley,Scott,CloudVault,Director of IT,+1-465-167-4998,https://linkedin.com/in/ashley-scott-director-it,referral,"Company focused on innovation in SaaS space, active on LinkedIn",SaaS,1-10,"React Native, MongoDB, Docker",Series A,2844,$51M
mark.baker@careconnect.com,Mark,Baker,CareConnect,VP of Sales,+1-830-882-6721,https://linkedin.com/in/mark-baker-vp-sales,linkedin,"Attended industry conference last month, interested in automation solutions",Cloud Services,1000+,"Angular, .NET, Azure",Seed,2260,$95M
joshua.davis@marketing.com,Joshua,Davis,MarketingEdge,VP of Infrastructure,+1-676-392-4863,https://linkedin.com/in/joshua-davis-vp-infrastructure,linkedin,"Active in DevOps community, frequently shares insights on LinkedIn",DevOps,501-1000,"Vue.js, Python, GCP",Series C,4045,$17M
steven.thompson@inventory.com,Steven,Thompson,InventoryPro,Head of Product,+1-586-642-4206,https://linkedin.com/in/steven-thompson-head-product,event,"Attended industry conference last month, interested in automation solutions",AI/ML,51-200,"Django, PostgreSQL, Kubernetes",Bootstrap,4568,$9M
rachel.martinez@customeriq.com,Rachel,Martinez,CustomerIQ,VP of Business Development,+1-594-916-1842,https://linkedin.com/in/rachel-martinez-vp-business-development,referral,"Company raised Series A funding last year, expanding product team",Mobile Apps,51-200,"Ruby on Rails, Redis, Heroku",Series B,2350,$65M
matthew.taylor@edu.com,Matthew,Taylor,EduTech Solutions,Head of Platform,+1-863-453-6017,https://linkedin.com/in/matthew-taylor-head-platform,linkedin,"Recently posted job openings for senior engineers, growing rapidly",Analytics,51-200,"Next.js, GraphQL, Vercel",Series C,921,$91M
rachel.taylor@insight.com,Rachel,Taylor,InsightLabs,Chief Technology Officer,+1-238-179-4431,https://linkedin.com/in/rachel-taylor-chief-technology-ficer,cold_email,"Looking to scale Blockchain operations, mentioned challenges with current tech stack",Blockchain,51-200,"Next.js, GraphQL, Vercel",Series C,1592,$39M
robert.edwards@p.com,Robert,Edwards,PropTech Solutions,Chief Marketing Officer,+1-395-950-3341,https://linkedin.com/in/robert-edwards-chief-marketing-ficer,referral,"Recently posted job openings for senior engineers, growing rapidly",HealthTech,11-50,"Next.js, GraphQL, Vercel",Series A,2975,$57M
matthew.lopez@customeriq.com,Matthew,Lopez,CustomerIQ,VP of Customer Success,+1-479-633-5993,https://linkedin.com/in/matthew-lopez-vp-customer-success,other,"Company focused on innovation in Mobile Apps space, active on LinkedIn",Mobile Apps,1000+,"Next.js, GraphQL, Vercel",Seed,69,$81M
angela.morris@pharma.com,Angela,Morris,PharmaFlow,Head of Data,+1-342-494-4741,https://linkedin.com/in/angela-morris-head-data,website,"Active in Pharmaceutical community, frequently shares insights on LinkedIn",Pharmaceutical,201-500,"Ruby on Rails, Redis, Heroku",Bootstrap,1728,$5M
angela.hall@customeriq.com,Angela,Hall,CustomerIQ,Chief Information Officer,+1-341-262-6083,https://linkedin.com/in/angela-hall-chief-information-ficer,linkedin,"Company focused on innovation in Cloud Services space, active on LinkedIn",Cloud Services,1000+,"React Native, MongoDB, Docker",Seed,4112,$85M
christopher.brown@lending.com,Christopher,Brown,LendingEdge,VP of Security,+1-226-468-8909,https://linkedin.com/in/christopher-brown-vp-security,referral,"Company focused on innovation in Cybersecurity space, active on LinkedIn",Cybersecurity,201-500,"React, Node.js, AWS",Seed,269,$88M
john.robinson@lab.com,John,Robinson,LabTech Pro,Chief Revenue Officer,+1-580-643-6732,https://linkedin.com/in/john-robinson-chief-revenue-ficer,event,"Active in Cloud Services community, frequently shares insights on LinkedIn",Cloud Services,51-200,"React, Node.js, AWS",Bootstrap,4851,$54M
anthony.garcia@build.com,Anthony,Garcia,BuildTech,VP of Marketing,+1-533-627-7282,https://linkedin.com/in/anthony-garcia-vp-marketing,apollo,"Active in AI/ML community, frequently shares insights on LinkedIn",AI/ML,11-50,"React Native, MongoDB, Docker",Public,2203,$88M
paul.garcia@pharma.com,Paul,Garcia,PharmaFlow,Director of Analytics,+1-633-494-7000,https://linkedin.com/in/paul-garcia-director-analytics,website,"Active in Real Estate community, frequently shares insights on LinkedIn",Real Estate,1000+,"Vue.js, Python, GCP",Series A,1958,$67M
matthew.hall@p.com,Matthew,Hall,PropTech Solutions,VP of Sales,+1-562-117-2569,https://linkedin.com/in/matthew-hall-vp-sales,event,"Company raised Series A funding last year, expanding product team",FinTech,51-200,"Next.js, GraphQL, Vercel",Public,3631,$61M
amanda.scott@scale.com,Amanda,Scott,ScaleTech,Chief Information Officer,+1-581-234-9470,https://linkedin.com/in/amanda-scott-chief-information-ficer,event,"Recently posted job openings for senior engineers, growing rapidly",Cybersecurity,1000+,"Vue.js, Python, GCP",Bootstrap,2037,$42M
matthew.turner@trade.com,Matthew,Turner,TradeTech,Director of Sales,+1-917-916-2602,https://linkedin.com/in/matthew-turner-director-sales,linkedin,"Fast-growing HealthTech company, recently expanded engineering team",HealthTech,11-50,"Ruby on Rails, Redis, Heroku",Series B,4397,$58M
anthony.scott@marketing.com,Anthony,Scott,MarketingEdge,Chief Revenue Officer,+1-886-661-7995,https://linkedin.com/in/anthony-scott-chief-revenue-ficer,cold_email,"Company raised Series A funding last year, expanding product team",FinTech,1000+,"Vue.js, Python, GCP",Public,70,$92M
